name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
포스코퓨처엠,151000,151000,146000,147400,-3600,-2.38%,273777,25.02.27
포스코퓨처엠,143900,152600,143200,151000,5900,+4.07%,407615,25.02.26
포스코퓨처엠,151200,152300,145000,145100,-7900,-5.16%,429248,25.02.25
포스코퓨처엠,144300,155600,143000,153000,7300,+5.01%,792443,25.02.24
포스코퓨처엠,144000,148400,142600,145700,2700,+1.89%,548920,25.02.21
포스코퓨처엠,140200,144700,138000,143000,3900,+2.80%,607237,25.02.20
포스코퓨처엠,130100,147300,130100,139100,9300,+7.16%,1354059,25.02.19
포스코퓨처엠,135100,135300,129300,129800,-4500,-3.35%,408016,25.02.18
포스코퓨처엠,132600,138000,131500,134300,2000,+1.51%,375672,25.02.17
포스코퓨처엠,132900,135400,130600,132300,-1500,-1.12%,308076,25.02.14
포스코퓨처엠,127700,135900,127600,133800,7300,+5.77%,811308,25.02.13
포스코퓨처엠,126800,128600,125500,126500,-500,-0.39%,264587,25.02.12
포스코퓨처엠,129600,131200,126800,127000,-3100,-2.38%,330753,25.02.11
포스코퓨처엠,125900,131500,122700,130100,2200,+1.72%,320240,25.02.10
포스코퓨처엠,130600,134500,127800,127900,-3300,-2.52%,275643,25.02.07
포스코퓨처엠,132100,133000,128500,131200,-300,-0.23%,206443,25.02.06
포스코퓨처엠,125600,133300,125500,131500,6500,+5.20%,374496,25.02.05
포스코퓨처엠,131300,133600,124800,125000,-4000,-3.10%,449845,25.02.04
포스코퓨처엠,138200,138600,126900,129000,-13800,-9.66%,587758,25.02.03
포스코퓨처엠,142900,143300,138200,142800,1000,+0.71%,252811,25.01.31
포스코퓨처엠,142500,144100,139400,141800,-700,-0.49%,261419,25.01.24
포스코퓨처엠,145400,145400,140800,142500,-2900,-1.99%,231587,25.01.23
포스코퓨처엠,141500,147000,141500,145400,5000,+3.56%,427336,25.01.22
포스코퓨처엠,154000,154400,139500,140400,-15400,-9.88%,883977,25.01.21
포스코퓨처엠,150800,156000,150700,155800,5900,+3.94%,485467,25.01.20
포스코퓨처엠,151200,153500,149700,149900,-2000,-1.32%,232144,25.01.17
포스코퓨처엠,153500,156100,151200,151900,2600,+1.74%,324427,25.01.16
포스코퓨처엠,154200,156100,149300,149300,-3900,-2.55%,326846,25.01.15
포스코퓨처엠,150000,155800,148200,153200,3800,+2.54%,440640,25.01.14
포스코퓨처엠,149500,152700,147300,149400,-1500,-0.99%,255415,25.01.13
포스코퓨처엠,153400,153400,148300,150900,-4100,-2.65%,406061,25.01.10
포스코퓨처엠,152700,155000,146700,155000,2300,+1.51%,622707,25.01.09
포스코퓨처엠,148900,155000,148200,152700,2700,+1.80%,403461,25.01.08
포스코퓨처엠,150500,158200,149200,150000,400,+0.27%,469350,25.01.07
포스코퓨처엠,148100,151800,145900,149600,3300,+2.26%,351547,25.01.06
포스코퓨처엠,137200,150700,137000,146300,8400,+6.09%,613083,25.01.03
포스코퓨처엠,142700,143200,136300,137900,-4200,-2.96%,308073,25.01.02
포스코퓨처엠,140900,145900,140900,142100,-300,-0.21%,255599,24.12.30
포스코퓨처엠,141200,146200,139500,142400,-200,-0.14%,383227,24.12.27
포스코퓨처엠,149000,149000,141800,142600,-5100,-3.45%,309044,24.12.26
포스코퓨처엠,151200,154300,147500,147700,-2600,-1.73%,221446,24.12.24
포스코퓨처엠,147000,151300,142400,150300,4500,+3.09%,322278,24.12.23
포스코퓨처엠,152800,153500,145100,145800,-5700,-3.76%,318388,24.12.20
포스코퓨처엠,150500,154000,148400,151500,-3100,-2.01%,304083,24.12.19
포스코퓨처엠,153600,155700,153100,154600,2000,+1.31%,269850,24.12.18
포스코퓨처엠,167000,167700,152600,152600,-13700,-8.24%,668084,24.12.17
포스코퓨처엠,169000,169800,166200,166300,-500,-0.30%,208376,24.12.16
포스코퓨처엠,172100,172100,166800,166800,-6200,-3.58%,332137,24.12.13
포스코퓨처엠,167600,174200,163800,173000,7400,+4.47%,484923,24.12.12
포스코퓨처엠,165300,168300,163400,165600,700,+0.42%,262466,24.12.11
포스코퓨처엠,156500,166000,156500,164900,9800,+6.32%,331403,24.12.10
포스코퓨처엠,161100,164000,154800,155100,-10100,-6.11%,417271,24.12.09
포스코퓨처엠,163200,166500,157200,165200,1900,+1.16%,341390,24.12.06
포스코퓨처엠,170000,170500,162700,163300,-5400,-3.20%,236329,24.12.05
포스코퓨처엠,168200,170900,165000,168700,-3100,-1.80%,322136,24.12.04
포스코퓨처엠,177700,179500,171200,171800,-4200,-2.39%,334406,24.12.03
포스코퓨처엠,174600,180700,172900,176000,3700,+2.15%,283337,24.12.02
포스코퓨처엠,183100,183100,171200,172300,-10800,-5.90%,299500,24.11.29
포스코퓨처엠,182300,185900,180200,183100,2900,+1.61%,186971,24.11.28
포스코퓨처엠,188400,192400,178900,180200,-6800,-3.64%,253245,24.11.27
