name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
SK하이닉스,221000,225500,215000,219500,-6000,-2.66%,5962561,25.01.23
SK하이닉스,221500,227000,217000,225500,7500,+3.44%,5621306,25.01.22
SK하이닉스,216500,220000,214000,218000,6000,+2.83%,3058368,25.01.21
SK하이닉스,219000,219000,210500,212000,-2500,-1.17%,2954952,25.01.20
SK하이닉스,209500,217500,209000,214500,4500,+2.14%,5008598,25.01.17
SK하이닉스,208500,210000,206500,210000,11800,+5.95%,5320950,25.01.16
SK하이닉스,198000,201000,197700,198200,3200,+1.64%,3505253,25.01.15
SK하이닉스,194300,197900,193600,195000,700,+0.36%,2736637,25.01.14
SK하이닉스,203000,203000,193900,194300,-9200,-4.52%,4640785,25.01.13
SK하이닉스,208000,212500,202500,203500,-1500,-0.73%,5936766,25.01.10
SK하이닉스,201000,206000,199800,205000,10300,+5.29%,6655199,25.01.09
SK하이닉스,193100,198100,191000,194700,-300,-0.15%,4226628,25.01.08
SK하이닉스,205000,206500,194800,195000,-4800,-2.40%,6005485,25.01.07
SK하이닉스,184400,199800,184400,199800,17900,+9.84%,7248856,25.01.06
SK하이닉스,174500,182700,173100,181900,10700,+6.25%,4207897,25.01.03
SK하이닉스,170500,172200,170000,171200,-2700,-1.55%,2071117,25.01.02
SK하이닉스,174000,175800,172400,173900,-600,-0.34%,1407566,24.12.30
SK하이닉스,170100,176000,170000,174500,4400,+2.59%,2619253,24.12.27
SK하이닉스,170000,172000,169400,170100,1600,+0.95%,1996431,24.12.26
SK하이닉스,171700,171900,168300,168500,-1100,-0.65%,1797974,24.12.24
SK하이닉스,170000,173300,169600,169600,1100,+0.65%,3064747,24.12.23
SK하이닉스,174100,174800,167100,168500,-6500,-3.71%,4381412,24.12.20
SK하이닉스,173900,176800,173000,175000,-8500,-4.63%,4734901,24.12.19
SK하이닉스,183400,183900,181600,183500,-500,-0.27%,2348086,24.12.18
SK하이닉스,183000,184500,182100,184000,4700,+2.62%,3114746,24.12.17
SK하이닉스,177400,180400,177300,179300,3800,+2.17%,3243680,24.12.16
SK하이닉스,174400,176400,173500,175500,-600,-0.34%,3570536,24.12.13
SK하이닉스,176500,177400,173500,176100,4300,+2.50%,4321438,24.12.12
SK하이닉스,167400,171800,167000,171800,1400,+0.82%,2249282,24.12.11
SK하이닉스,168000,170400,167600,170400,1500,+0.89%,2982436,24.12.10
SK하이닉스,167100,170600,165000,168900,1800,+1.08%,5090885,24.12.09
SK하이닉스,173500,173600,165000,167100,-5900,-3.41%,4343750,24.12.06
SK하이닉스,170000,175600,169300,173000,5000,+2.98%,4608395,24.12.05
SK하이닉스,161300,168000,161100,168000,3100,+1.88%,5639118,24.12.04
SK하이닉스,159200,165100,159100,164900,6100,+3.84%,4021415,24.12.03
SK하이닉스,162200,162700,158600,158800,-1100,-0.69%,3515314,24.12.02
SK하이닉스,160000,162400,157600,159900,-1200,-0.74%,4564096,24.11.29
SK하이닉스,164600,166300,160800,161100,-7200,-4.28%,5515768,24.11.28
SK하이닉스,175600,175700,167900,168300,-8800,-4.97%,4630248,24.11.27
SK하이닉스,175200,177700,174700,177100,100,+0.06%,1957604,24.11.26
