name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
현대오토에버,155000,158600,153400,158500,3300,+2.13%,37888,24.10.04
현대오토에버,155500,156600,153700,155200,-1100,-0.70%,41749,24.10.02
현대오토에버,160400,160400,156000,156300,-3400,-2.13%,59794,24.09.30
현대오토에버,162400,162400,159400,159700,-2200,-1.36%,44559,24.09.27
현대오토에버,160700,161900,159000,161900,2900,+1.82%,77379,24.09.26
현대오토에버,163000,163100,158500,159000,-3900,-2.39%,75465,24.09.25
현대오토에버,167700,168000,160700,162900,-2900,-1.75%,108837,24.09.24
현대오토에버,167000,167100,162700,165800,500,+0.30%,55984,24.09.23
현대오토에버,166000,168800,163700,165300,-100,-0.06%,106264,24.09.20
현대오토에버,163400,165800,161000,165400,5100,+3.18%,86299,24.09.19
현대오토에버,159000,164400,159000,160300,3200,+2.04%,126327,24.09.13
현대오토에버,157100,158500,155700,157100,1500,+0.96%,23534,24.09.12
현대오토에버,153000,160000,152800,155600,3900,+2.57%,79457,24.09.11
현대오토에버,157700,158000,151500,151700,-4000,-2.57%,32120,24.09.10
현대오토에버,150000,157000,148500,155700,2700,+1.76%,55486,24.09.09
현대오토에버,157100,161400,152400,153000,-2200,-1.42%,154238,24.09.06
현대오토에버,153800,156400,151900,155200,3100,+2.04%,59796,24.09.05
현대오토에버,150000,153400,148000,152100,-2900,-1.87%,53317,24.09.04
현대오토에버,163300,163300,155000,155000,-8100,-4.97%,105736,24.09.03
현대오토에버,162000,163100,159300,163100,1800,+1.12%,54817,24.09.02
현대오토에버,164800,166100,159900,161300,-1900,-1.16%,70091,24.08.30
현대오토에버,165700,168700,161400,163200,-0,0.00%,181463,24.08.29
현대오토에버,156400,164500,155000,163200,7900,+5.09%,100133,24.08.28
현대오토에버,154300,156400,151000,155300,600,+0.39%,49651,24.08.27
현대오토에버,158000,158800,154400,154700,-2800,-1.78%,41405,24.08.26
현대오토에버,154800,157600,154000,157500,1700,+1.09%,36226,24.08.23
현대오토에버,162000,162600,155500,155800,-5300,-3.29%,67056,24.08.22
현대오토에버,160400,162400,159300,161100,-300,-0.19%,40838,24.08.21
현대오토에버,159100,161500,157500,161400,2500,+1.57%,49492,24.08.20
현대오토에버,160400,161800,157800,158900,-1500,-0.94%,58655,24.08.19
현대오토에버,154500,160600,153300,160400,9500,+6.30%,105319,24.08.16
현대오토에버,152300,152800,150300,150900,400,+0.27%,41114,24.08.14
현대오토에버,153500,155100,150000,150500,-3000,-1.95%,40675,24.08.13
현대오토에버,156500,157400,153400,153500,-2100,-1.35%,42446,24.08.12
현대오토에버,158000,158100,153900,155600,1100,+0.71%,41298,24.08.09
현대오토에버,152000,155200,150000,154500,-1100,-0.71%,48544,24.08.08
